"Test Suite","Test Case","Test Step","Step Type","Step Status","Result message","Execution Date"
"E2E CountryInfoServiceSoapBinding TestSuite","CountryInfoServiceSoapBinding TestSuite","Properties for E2E TS","properties","OK","","04-но€б.-2022 16_29",
"E2E CountryInfoServiceSoapBinding TestSuite","CountryInfoServiceSoapBinding TestSuite","ListOfCountryNamesByName","request","OK","","04-но€б.-2022 16_29",
"E2E CountryInfoServiceSoapBinding TestSuite","CountryInfoServiceSoapBinding TestSuite","Select random country","groovy","OK","","04-но€б.-2022 16_29",
"E2E CountryInfoServiceSoapBinding TestSuite","CountryInfoServiceSoapBinding TestSuite","FullCountryInfo","request","OK","","04-но€б.-2022 16_29",
"E2E CountryInfoServiceSoapBinding TestSuite","CountryInfoServiceSoapBinding TestSuite","Creating properties for all Country Options","groovy","OK","","04-но€б.-2022 16_29",
"E2E CountryInfoServiceSoapBinding TestSuite","CountryInfoServiceSoapBinding TestSuite","Property Transfer","transfer","OK","Message:Performed transfer [ ISO code]
Message:Performed transfer [ISO Currency code]
Message:Performed transfer [cISO code]
Message:Performed transfer [pISO code]
Message:Performed transfer [Country name]
Message:Performed transfer [nISO code]
Message:Performed transfer [Lang name]
Message:Performed transfer [Lang code]
Message:Performed transfer [fISO code]
","04-но€б.-2022 16_29",
"E2E CountryInfoServiceSoapBinding TestSuite","CountryInfoServiceSoapBinding TestSuite","CapitalCity","request","OK","","04-но€б.-2022 16_29",
"E2E CountryInfoServiceSoapBinding TestSuite","CountryInfoServiceSoapBinding TestSuite","CountriesUsingCurrency","request","OK","","04-но€б.-2022 16_29",
"E2E CountryInfoServiceSoapBinding TestSuite","CountryInfoServiceSoapBinding TestSuite","CountryCurrency","request","OK","","04-но€б.-2022 16_29",
"E2E CountryInfoServiceSoapBinding TestSuite","CountryInfoServiceSoapBinding TestSuite","Set Currency name value","groovy","OK","","04-но€б.-2022 16_29",
"E2E CountryInfoServiceSoapBinding TestSuite","CountryInfoServiceSoapBinding TestSuite","CountryFlag","request","OK","","04-но€б.-2022 16_29",
"E2E CountryInfoServiceSoapBinding TestSuite","CountryInfoServiceSoapBinding TestSuite","CountryIntPhoneCode","request","OK","","04-но€б.-2022 16_29",
"E2E CountryInfoServiceSoapBinding TestSuite","CountryInfoServiceSoapBinding TestSuite","CountryISOCode","request","OK","","04-но€б.-2022 16_29",
"E2E CountryInfoServiceSoapBinding TestSuite","CountryInfoServiceSoapBinding TestSuite","CountryName","request","OK","","04-но€б.-2022 16_29",
"E2E CountryInfoServiceSoapBinding TestSuite","CountryInfoServiceSoapBinding TestSuite","CurrencyName","request","OK","","04-но€б.-2022 16_29",
"E2E CountryInfoServiceSoapBinding TestSuite","CountryInfoServiceSoapBinding TestSuite","FullCountryInfoAllCountries","request","OK","","04-но€б.-2022 16_29",
"E2E CountryInfoServiceSoapBinding TestSuite","CountryInfoServiceSoapBinding TestSuite","LanguageISOCode","request","OK","","04-но€б.-2022 16_29",
"E2E CountryInfoServiceSoapBinding TestSuite","CountryInfoServiceSoapBinding TestSuite","LanguageName","request","OK","","04-но€б.-2022 16_29",
"E2E CountryInfoServiceSoapBinding TestSuite","CountryInfoServiceSoapBinding TestSuite","ListOfContinentsByCode","request","OK","","04-но€б.-2022 16_29",
"E2E CountryInfoServiceSoapBinding TestSuite","CountryInfoServiceSoapBinding TestSuite","ListOfContinentsByName","request","OK","","04-но€б.-2022 16_29",
"E2E CountryInfoServiceSoapBinding TestSuite","CountryInfoServiceSoapBinding TestSuite","ListOfCountryNamesByCode","request","OK","","04-но€б.-2022 16_29",
"E2E CountryInfoServiceSoapBinding TestSuite","CountryInfoServiceSoapBinding TestSuite","ListOfCountryNamesGroupedByContinent","request","OK","","04-но€б.-2022 16_29",
"E2E CountryInfoServiceSoapBinding TestSuite","CountryInfoServiceSoapBinding TestSuite","ListOfCurrenciesByCode","request","OK","","04-но€б.-2022 16_29",
"E2E CountryInfoServiceSoapBinding TestSuite","CountryInfoServiceSoapBinding TestSuite","ListOfCurrenciesByName","request","OK","","04-но€б.-2022 16_29",
"E2E CountryInfoServiceSoapBinding TestSuite","CountryInfoServiceSoapBinding TestSuite","ListOfLanguagesByCode","request","OK","","04-но€б.-2022 16_29",
"E2E CountryInfoServiceSoapBinding TestSuite","CountryInfoServiceSoapBinding TestSuite","ListOfLanguagesByName","request","OK","","04-но€б.-2022 16_29",
"E2E CountryInfoServiceSoapBinding TestSuite","CountryInfoServiceSoapBinding TestSuite","Launch mocked TS","groovy","FAILED","Message:groovy.lang.MissingPropertyException: No such property: testCase for class: Script2
Message:error at line: 2
","04-но€б.-2022 16_29",
